,donor,sample,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,gabe_label,mni_nlin_x,mni_nlin_y,mni_nlin_z
139,9861,533,4257,16,2501,CX,CA4,"CA4 field, left",82195,122,106,93,-30.8,-19.7,-13.2,H0351.2001,-32.2639337329366,-17.5586331058159,-15.413294260337999
140,9861,534,4258,16,2510,CX,DG,"dentate gyrus, left",81178,121,106,93,-29.8,-19.7,-13.2,H0351.2001,-31.1869060330173,-17.646875604417602,-15.512980233037801
141,9861,546,4251,19,2572,CX,S,"subiculum, left",39972,110,104,104,-18.5,-30.4,-8.7,H0351.2001,-19.5660630221774,-28.1806263022412,-9.9604335796324
142,9861,547,4255,19,2541,CX,CA2,"CA2 field, left",39939,124,105,104,-33.2,-31.0,-10.0,H0351.2001,-34.4148849321856,-28.9569232742143,-11.7016580564835
143,9861,548,4256,19,2549,CX,CA3,"CA3 field, left",39938,123,104,104,-32.2,-30.7,-8.9,H0351.2001,-33.1953777109703,-28.33060570860709,-10.502450828170801
144,9861,549,4257,19,2557,CX,CA4,"CA4 field, left",39937,122,104,104,-31.1,-30.7,-8.9,H0351.2001,-32.0740641228318,-28.3092355038224,-10.5571730659598
145,9861,550,4258,19,2532,CX,DG,"dentate gyrus, left",39936,121,103,103,-30.0,-29.3,-8.0,H0351.2001,-30.8834865167416,-26.806708868610702,-9.665851283614339
146,9861,555,4260,19,2587,CX,S,"subiculum, right",39548,67,105,107,26.9,-32.7,-8.3,H0351.2001,27.723846055825,-30.8021779612463,-10.5387121914355
147,9861,556,4263,19,2562,CX,CA1,"CA1 field, right",39547,62,105,108,32.1,-33.6,-8.0,H0351.2001,33.04096503716549,-31.75368338029209,-9.719316069005961
148,9861,557,4264,19,2570,CX,CA2,"CA2 field, right",39478,62,103,109,32.1,-34.1,-5.6,H0351.2001,33.330350931995504,-32.0368526217222,-7.369631037578371
149,9861,558,4265,19,2578,CX,CA3,"CA3 field, right",39477,63,103,108,31.1,-33.1,-5.9,H0351.2001,32.2796658975332,-31.0491174026047,-7.814958479432629
